2023/09/04 15:15:06 第9块共62, Range头: 419430408-471859208, 应下载大小=471859209, 总大小=3239624591, crc=11368393171334094695
2023/09/04 15:15:16 第10块共62, Range头: 471859209-524288009, 应下载大小=524288010, 总大小=3239624591, crc=11368393171334094695
2023/09/04 15:15:26 第11块共62, Range头: 524288010-576716810, 应下载大小=576716811, 总大小=3239624591, crc=11368393171334094695
2023/09/04 15:15:36 第12块共62, Range头: 576716811-629145611, 应下载大小=629145612, 总大小=3239624591, crc=11368393171334094695
2023/09/04 15:15:46 第13块共62, Range头: 629145612-681574412, 应下载大小=681574413, 总大小=3239624591, crc=11368393171334094695
2023/09/04 15:15:55 第14块共62, Range头: 681574413-734003213, 应下载大小=734003214, 总大小=3239624591, crc=11368393171334094695
2023/09/04 15:16:05 第15块共62, Range头: 734003214-786432014, 应下载大小=786432015, 总大小=3239624591, crc=11368393171334094695
2023/09/04 15:16:15 第16块共62, Range头: 786432015-838860815, 应下载大小=838860816, 总大小=3239624591, crc=11368393171334094695
2023/09/04 15:16:25 第17块共62, Range头: 838860816-891289616, 应下载大小=891289617, 总大小=3239624591, crc=11368393171334094695
2023/09/04 15:16:35 第18块共62, Range头: 891289617-943718417, 应下载大小=943718418, 总大小=3239624591, crc=11368393171334094695
2023/09/04 15:16:45 第19块共62, Range头: 943718418-996147218, 应下载大小=996147219, 总大小=3239624591, crc=11368393171334094695
2023/09/04 15:16:55 第20块共62, Range头: 996147219-1048576019, 应下载大小=1048576020, 总大小=3239624591, crc=11368393171334094695
2023/09/04 15:17:05 第21块共62, Range头: 1048576020-1101004820, 应下载大小=1101004821, 总大小=3239624591, crc=11368393171334094695
2023/09/04 15:17:14 第22块共62, Range头: 1101004821-1153433621, 应下载大小=1153433622, 总大小=3239624591, crc=11368393171334094695
2023/09/04 15:17:24 第23块共62, Range头: 1153433622-1205862422, 应下载大小=1205862423, 总大小=3239624591, crc=11368393171334094695
2023/09/04 15:17:34 第24块共62, Range头: 1205862423-1258291223, 应下载大小=1258291224, 总大小=3239624591, crc=11368393171334094695
2023/09/04 15:17:44 第25块共62, Range头: 1258291224-1310720024, 应下载大小=1310720025, 总大小=3239624591, crc=11368393171334094695
2023/09/04 15:17:54 第26块共62, Range头: 1310720025-1363148825, 应下载大小=1363148826, 总大小=3239624591, crc=11368393171334094695
2023/09/04 15:18:04 第27块共62, Range头: 1363148826-1415577626, 应下载大小=1415577627, 总大小=3239624591, crc=11368393171334094695
2023/09/04 15:18:14 第28块共62, Range头: 1415577627-1468006427, 应下载大小=1468006428, 总大小=3239624591, crc=11368393171334094695
2023/09/04 15:18:23 第29块共62, Range头: 1468006428-1520435228, 应下载大小=1520435229, 总大小=3239624591, crc=11368393171334094695
2023/09/04 15:18:33 第30块共62, Range头: 1520435229-1572864029, 应下载大小=1572864030, 总大小=3239624591, crc=11368393171334094695
2023/09/04 15:18:43 第31块共62, Range头: 1572864030-1625292830, 应下载大小=1625292831, 总大小=3239624591, crc=11368393171334094695
2023/09/04 15:18:53 第32块共62, Range头: 1625292831-1677721631, 应下载大小=1677721632, 总大小=3239624591, crc=11368393171334094695
2023/09/04 15:19:03 第33块共62, Range头: 1677721632-1730150432, 应下载大小=1730150433, 总大小=3239624591, crc=11368393171334094695
2023/09/04 15:19:13 第34块共62, Range头: 1730150433-1782579233, 应下载大小=1782579234, 总大小=3239624591, crc=11368393171334094695
2023/09/04 15:19:22 第35块共62, Range头: 1782579234-1835008034, 应下载大小=1835008035, 总大小=3239624591, crc=11368393171334094695
2023/09/04 15:19:32 第36块共62, Range头: 1835008035-1887436835, 应下载大小=1887436836, 总大小=3239624591, crc=11368393171334094695
2023/09/04 15:19:42 第37块共62, Range头: 1887436836-1939865636, 应下载大小=1939865637, 总大小=3239624591, crc=11368393171334094695
2023/09/04 15:19:52 第38块共62, Range头: 1939865637-1992294437, 应下载大小=1992294438, 总大小=3239624591, crc=11368393171334094695
2023/09/04 15:20:01 第39块共62, Range头: 1992294438-2044723238, 应下载大小=2044723239, 总大小=3239624591, crc=11368393171334094695
2023/09/04 15:20:11 第40块共62, Range头: 2044723239-2097152039, 应下载大小=2097152040, 总大小=3239624591, crc=11368393171334094695
2023/09/04 15:20:21 第41块共62, Range头: 2097152040-2149580840, 应下载大小=2149580841, 总大小=3239624591, crc=11368393171334094695
2023/09/04 15:20:30 第42块共62, Range头: 2149580841-2202009641, 应下载大小=2202009642, 总大小=3239624591, crc=11368393171334094695
2023/09/04 15:20:40 第43块共62, Range头: 2202009642-2254438442, 应下载大小=2254438443, 总大小=3239624591, crc=11368393171334094695
2023/09/04 15:20:50 第44块共62, Range头: 2254438443-2306867243, 应下载大小=2306867244, 总大小=3239624591, crc=11368393171334094695
2023/09/04 15:20:59 第45块共62, Range头: 2306867244-2359296044, 应下载大小=2359296045, 总大小=3239624591, crc=11368393171334094695
2023/09/04 15:21:09 第46块共62, Range头: 2359296045-2411724845, 应下载大小=2411724846, 总大小=3239624591, crc=11368393171334094695
2023/09/04 15:21:19 第47块共62, Range头: 2411724846-2464153646, 应下载大小=2464153647, 总大小=3239624591, crc=11368393171334094695
2023/09/04 15:21:29 第48块共62, Range头: 2464153647-2516582447, 应下载大小=2516582448, 总大小=3239624591, crc=11368393171334094695
2023/09/04 15:21:39 第49块共62, Range头: 2516582448-2569011248, 应下载大小=2569011249, 总大小=3239624591, crc=11368393171334094695
2023/09/04 15:21:49 第50块共62, Range头: 2569011249-2621440049, 应下载大小=2621440050, 总大小=3239624591, crc=11368393171334094695
2023/09/04 15:21:59 第51块共62, Range头: 2621440050-2673868850, 应下载大小=2673868851, 总大小=3239624591, crc=11368393171334094695
2023/09/04 15:22:09 第52块共62, Range头: 2673868851-2726297651, 应下载大小=2726297652, 总大小=3239624591, crc=11368393171334094695
2023/09/04 15:22:19 第53块共62, Range头: 2726297652-2778726452, 应下载大小=2778726453, 总大小=3239624591, crc=11368393171334094695
2023/09/04 15:22:29 第54块共62, Range头: 2778726453-2831155253, 应下载大小=2831155254, 总大小=3239624591, crc=11368393171334094695
2023/09/04 15:22:39 第55块共62, Range头: 2831155254-2883584054, 应下载大小=2883584055, 总大小=3239624591, crc=11368393171334094695
2023/09/04 15:22:50 第56块共62, Range头: 2883584055-2936012855, 应下载大小=2936012856, 总大小=3239624591, crc=11368393171334094695
2023/09/04 15:23:00 第57块共62, Range头: 2936012856-2988441656, 应下载大小=2988441657, 总大小=3239624591, crc=11368393171334094695
2023/09/04 15:23:10 第58块共62, Range头: 2988441657-3040870457, 应下载大小=3040870458, 总大小=3239624591, crc=11368393171334094695
2023/09/04 15:23:19 第59块共62, Range头: 3040870458-3093299258, 应下载大小=3093299259, 总大小=3239624591, crc=11368393171334094695
2023/09/04 15:23:29 第60块共62, Range头: 3093299259-3145728059, 应下载大小=3145728060, 总大小=3239624591, crc=11368393171334094695
2023/09/04 15:23:39 第61块共62, Range头: 3145728060-3198156860, 应下载大小=3198156861, 总大小=3239624591, crc=11368393171334094695
2023/09/04 15:23:46 第62块共62, Range头: 3198156861-3239624590, 应下载大小=3239624591, 总大小=3239624591, crc=11368393171334094695
2023/09/04 15:23:54 已下载:0, 完整请求:[{0 117 true}]
2023/09/04 15:23:54 第1块共1, Range头: 0-117, 应下载大小=118, 总大小=118, crc=5733261395451866361
2023/09/04 15:23:55 已下载:0, 完整请求:[{0 52428800 false} {52428801 104857601 false} {104857602 157286402 false} {157286403 209715203 false} {209715204 262144004 false} {262144005 314572805 false} {314572806 367001606 false} {367001607 419430407 false} {419430408 471859208 false} {471859209 524288009 false} {524288010 576716810 false} {576716811 629145611 false} {629145612 681574412 false} {681574413 734003213 false} {734003214 786432014 false} {786432015 838860815 false} {838860816 891289616 false} {891289617 943718417 false} {943718418 996147218 false} {996147219 1048576019 false} {1048576020 1101004820 false} {1101004821 1153433621 false} {1153433622 1205862422 false} {1205862423 1258291223 false} {1258291224 1310720024 false} {1310720025 1363148825 false} {1363148826 1415577626 false} {1415577627 1468006427 false} {1468006428 1520435228 false} {1520435229 1572864029 false} {1572864030 1625292830 false} {1625292831 1677721631 false} {1677721632 1730150432 false} {1730150433 1782579233 false} {1782579234 1835008034 false} {1835008035 1887436835 false} {1887436836 1939865636 false} {1939865637 1992294437 false} {1992294438 2044723238 false} {2044723239 2097152039 false} {2097152040 2149580840 false} {2149580841 2202009641 false} {2202009642 2254438442 false} {2254438443 2306867243 false} {2306867244 2359296044 false} {2359296045 2411724845 false} {2411724846 2464153646 false} {2464153647 2516582447 false} {2516582448 2569011248 false} {2569011249 2621440049 false} {2621440050 2673868850 false} {2673868851 2726297651 false} {2726297652 2778726452 false} {2778726453 2831155253 false} {2831155254 2883584054 false} {2883584055 2936012855 false} {2936012856 2988441656 false} {2988441657 3040870457 false} {3040870458 3093299258 false} {3093299259 3145728059 false} {3145728060 3198156860 false} {3198156861 3250585661 false} {3250585662 3303014462 false} {3303014463 3355443263 false} {3355443264 3407872064 false} {3407872065 3411381002 true}]
2023/09/04 15:24:05 第1块共66, Range头: 0-52428800, 应下载大小=52428801, 总大小=3411381003, crc=4546240037844697174
2023/09/04 15:24:14 第2块共66, Range头: 52428801-104857601, 应下载大小=104857602, 总大小=3411381003, crc=4546240037844697174
2023/09/04 15:24:24 第3块共66, Range头: 104857602-157286402, 应下载大小=157286403, 总大小=3411381003, crc=4546240037844697174
2023/09/04 15:24:34 第4块共66, Range头: 157286403-209715203, 应下载大小=209715204, 总大小=3411381003, crc=4546240037844697174
2023/09/04 15:24:43 第5块共66, Range头: 209715204-262144004, 应下载大小=262144005, 总大小=3411381003, crc=4546240037844697174
2023/09/04 15:24:53 第6块共66, Range头: 262144005-314572805, 应下载大小=314572806, 总大小=3411381003, crc=4546240037844697174
2023/09/04 15:25:03 第7块共66, Range头: 314572806-367001606, 应下载大小=367001607, 总大小=3411381003, crc=4546240037844697174
2023/09/04 15:25:13 第8块共66, Range头: 367001607-419430407, 应下载大小=419430408, 总大小=3411381003, crc=4546240037844697174
2023/09/04 15:25:22 第9块共66, Range头: 419430408-471859208, 应下载大小=471859209, 总大小=3411381003, crc=4546240037844697174
2023/09/04 15:25:32 第10块共66, Range头: 471859209-524288009, 应下载大小=524288010, 总大小=3411381003, crc=4546240037844697174
2023/09/04 15:25:42 第11块共66, Range头: 524288010-576716810, 应下载大小=576716811, 总大小=3411381003, crc=4546240037844697174
2023/09/04 15:25:52 第12块共66, Range头: 576716811-629145611, 应下载大小=629145612, 总大小=3411381003, crc=4546240037844697174
2023/09/04 15:26:02 第13块共66, Range头: 629145612-681574412, 应下载大小=681574413, 总大小=3411381003, crc=4546240037844697174
2023/09/04 15:26:12 第14块共66, Range头: 681574413-734003213, 应下载大小=734003214, 总大小=3411381003, crc=4546240037844697174
2023/09/04 15:26:21 第15块共66, Range头: 734003214-786432014, 应下载大小=786432015, 总大小=3411381003, crc=4546240037844697174
2023/09/04 15:26:31 第16块共66, Range头: 786432015-838860815, 应下载大小=838860816, 总大小=3411381003, crc=4546240037844697174
2023/09/04 15:26:41 第17块共66, Range头: 838860816-891289616, 应下载大小=891289617, 总大小=3411381003, crc=4546240037844697174
2023/09/04 15:26:51 第18块共66, Range头: 891289617-943718417, 应下载大小=943718418, 总大小=3411381003, crc=4546240037844697174
2023/09/04 15:27:01 第19块共66, Range头: 943718418-996147218, 应下载大小=996147219, 总大小=3411381003, crc=4546240037844697174
2023/09/04 15:27:11 第20块共66, Range头: 996147219-1048576019, 应下载大小=1048576020, 总大小=3411381003, crc=4546240037844697174
2023/09/04 15:27:21 第21块共66, Range头: 1048576020-1101004820, 应下载大小=1101004821, 总大小=3411381003, crc=4546240037844697174
2023/09/04 15:27:30 第22块共66, Range头: 1101004821-1153433621, 应下载大小=1153433622, 总大小=3411381003, crc=4546240037844697174
2023/09/04 15:27:40 第23块共66, Range头: 1153433622-1205862422, 应下载大小=1205862423, 总大小=3411381003, crc=4546240037844697174
2023/09/04 15:27:50 第24块共66, Range头: 1205862423-1258291223, 应下载大小=1258291224, 总大小=3411381003, crc=4546240037844697174
2023/09/04 15:28:00 第25块共66, Range头: 1258291224-1310720024, 应下载大小=1310720025, 总大小=3411381003, crc=4546240037844697174
2023/09/04 15:28:10 第26块共66, Range头: 1310720025-1363148825, 应下载大小=1363148826, 总大小=3411381003, crc=4546240037844697174
2023/09/04 15:28:19 第27块共66, Range头: 1363148826-1415577626, 应下载大小=1415577627, 总大小=3411381003, crc=4546240037844697174
2023/09/04 15:28:29 第28块共66, Range头: 1415577627-1468006427, 应下载大小=1468006428, 总大小=3411381003, crc=4546240037844697174
2023/09/04 15:28:38 第29块共66, Range头: 1468006428-1520435228, 应下载大小=1520435229, 总大小=3411381003, crc=4546240037844697174
2023/09/04 15:28:52 第30块共66, Range头: 1520435229-1572864029, 应下载大小=1572864030, 总大小=3411381003, crc=4546240037844697174
2023/09/04 15:29:03 第31块共66, Range头: 1572864030-1625292830, 应下载大小=1625292831, 总大小=3411381003, crc=4546240037844697174
2023/09/04 15:29:16 第32块共66, Range头: 1625292831-1677721631, 应下载大小=1677721632, 总大小=3411381003, crc=4546240037844697174
2023/09/04 15:29:26 第33块共66, Range头: 1677721632-1730150432, 应下载大小=1730150433, 总大小=3411381003, crc=4546240037844697174
2023/09/04 15:29:37 第34块共66, Range头: 1730150433-1782579233, 应下载大小=1782579234, 总大小=3411381003, crc=4546240037844697174
2023/09/04 15:29:47 第35块共66, Range头: 1782579234-1835008034, 应下载大小=1835008035, 总大小=3411381003, crc=4546240037844697174
2023/09/04 15:29:59 第36块共66, Range头: 1835008035-1887436835, 应下载大小=1887436836, 总大小=3411381003, crc=4546240037844697174
2023/09/04 15:30:10 第37块共66, Range头: 1887436836-1939865636, 应下载大小=1939865637, 总大小=3411381003, crc=4546240037844697174
2023/09/04 15:30:21 第38块共66, Range头: 1939865637-1992294437, 应下载大小=1992294438, 总大小=3411381003, crc=4546240037844697174
2023/09/04 15:30:31 第39块共66, Range头: 1992294438-2044723238, 应下载大小=2044723239, 总大小=3411381003, crc=4546240037844697174
2023/09/04 15:30:42 第40块共66, Range头: 2044723239-2097152039, 应下载大小=2097152040, 总大小=3411381003, crc=4546240037844697174
2023/09/04 15:30:57 第41块共66, Range头: 2097152040-2149580840, 应下载大小=2149580841, 总大小=3411381003, crc=4546240037844697174
2023/09/04 15:31:09 第42块共66, Range头: 2149580841-2202009641, 应下载大小=2202009642, 总大小=3411381003, crc=4546240037844697174
2023/09/04 15:31:20 第43块共66, Range头: 2202009642-2254438442, 应下载大小=2254438443, 总大小=3411381003, crc=4546240037844697174
2023/09/04 15:31:31 第44块共66, Range头: 2254438443-2306867243, 应下载大小=2306867244, 总大小=3411381003, crc=4546240037844697174
2023/09/04 15:31:44 第45块共66, Range头: 2306867244-2359296044, 应下载大小=2359296045, 总大小=3411381003, crc=4546240037844697174
2023/09/04 15:31:55 第46块共66, Range头: 2359296045-2411724845, 应下载大小=2411724846, 总大小=3411381003, crc=4546240037844697174
2023/09/04 15:32:05 第47块共66, Range头: 2411724846-2464153646, 应下载大小=2464153647, 总大小=3411381003, crc=4546240037844697174
2023/09/04 15:32:16 第48块共66, Range头: 2464153647-2516582447, 应下载大小=2516582448, 总大小=3411381003, crc=4546240037844697174
2023/09/04 15:32:27 第49块共66, Range头: 2516582448-2569011248, 应下载大小=2569011249, 总大小=3411381003, crc=4546240037844697174
2023/09/04 15:32:38 第50块共66, Range头: 2569011249-2621440049, 应下载大小=2621440050, 总大小=3411381003, crc=4546240037844697174
2023/09/04 15:32:49 第51块共66, Range头: 2621440050-2673868850, 应下载大小=2673868851, 总大小=3411381003, crc=4546240037844697174
2023/09/04 15:32:59 第52块共66, Range头: 2673868851-2726297651, 应下载大小=2726297652, 总大小=3411381003, crc=4546240037844697174
2023/09/04 15:33:09 第53块共66, Range头: 2726297652-2778726452, 应下载大小=2778726453, 总大小=3411381003, crc=4546240037844697174
2023/09/04 15:33:20 第54块共66, Range头: 2778726453-2831155253, 应下载大小=2831155254, 总大小=3411381003, crc=4546240037844697174
